gaiadr2.gaia_source,phot_proc_mode,,,,Photometry processing mode,SMALLINT,,,,0,,0,93,
gaiadr2.gaia_source,duplicated_source,,meta.code.status,,Source with duplicate sources,SMALLINT,,,,0,,0,93,
gaiadr2.gaia_source,rv_template_fe_h,,stat.fit.param,,Fe/H of the template used to compute radial velocity,REAL,,,,0,,0,93,
gaiadr2.gaia_source,a_g_val,,phys.absorption.gal,mag,Line-of-sight extinction in the G band A_G.,REAL,,,,0,,0,93,
gaiadr2.gaia_source,e_bp_min_rp_percentile_lower,,,mag,e_bp_min_rp_val lower uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,e_bp_min_rp_percentile_upper,,,mag,e_bp_min_rp_val upper uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,random_index,,meta.code,,Random index used to select subsets,BIGINT,,,,0,1,0,93,
gaiadr2.gaia_source,bp_g,,phot.color,mag,BP - G colour,REAL,,,,0,,0,93,
gaiadr2.gaia_source,ecl_lon,,pos.ecliptic.lon,deg,Ecliptic longitude,DOUBLE,,,,1,1,0,6,
gaiadr2.gaia_source,ecl_lat,,pos.ecliptic.lat,deg,Ecliptic latitude,DOUBLE,,,,1,1,0,7,
gaiadr2.gaia_source,ra,,pos.eq.ra;meta.main,deg,Right ascension,double,\N,,,1,1,0,2,
gaiadr2.gaia_source,dec,,pos.eq.dec;meta.main,deg,Declination,double,\N,,,1,1,0,3,
gaiadr2.gaia_source,l,,pos.galactic.lon,deg,Galactic longitude,DOUBLE,,,,1,1,0,4,
gaiadr2.gaia_source,b,,pos.galactic.lat,deg,Galactic latitude,DOUBLE,,,,1,1,0,5,
gaiadr2.gaia_source,ref_epoch,,meta.ref;time.epoch,yr,Reference epoch,DOUBLE,,,,1,,0,93,
gaiadr2.gaia_source,dec_parallax_corr,,stat.correlation;pos.eq.dec;pos.parallax,,Correlation between declination and parallax,REAL,,,,0,,0,93,
gaiadr2.gaia_source,dec_pmra_corr,,stat.correlation;pos.eq.dec;pos.pm;pos.eq.ra,,Correlation between declination and proper motion in right ascension,REAL,,,,0,,0,93,
gaiadr2.gaia_source,ra_dec_corr,,stat.correlation;pos.eq.ra;pos.eq.dec,,Correlation between right ascension and declination,REAL,,,,0,,0,93,
gaiadr2.gaia_source,ra_parallax_corr,,stat.correlation;pos.eq.ra;pos.parallax,,Correlation between right ascension and parallax,REAL,,,,0,,0,93,
gaiadr2.gaia_source,ra_pmdec_corr,,stat.correlation;pos.eq.ra;pos.pm;pos.eq.dec,,Correlation between right ascension and proper motion in declination,REAL,,,,0,,0,93,
gaiadr2.gaia_source,ra_pmra_corr,,stat.correlation;pos.eq.ra;pos.pm;pos.eq.ra,,Correlation between right ascension and proper motion in right ascension,REAL,,,,0,,0,93,
gaiadr2.gaia_source,solution_id,,meta.version,,Solution Identifier,BIGINT,,,,0,,0,93,
gaiadr2.gaia_source,parallax_over_error,,pos.parallax;arith.ratio,,Parallax divided by its error,REAL,,,,0,1,0,93,
gaiadr2.gaia_source,g_rp,,phot.color,mag,G - RP colour,REAL,,,,0,1,0,93,
gaiadr2.gaia_source,astrometric_gof_al,,stat.fit.goodness,,Goodness of fit statistic of model wrt along-scan observations,REAL,,,,0,,0,93,
